"","pathway"
"9290","C5GO - GOBP Regulation of Receptor Signaling Pathway via Stat"
"9291","C5GO - GOBP Regulation of Regulated Secretory Pathway"
"9292","C5GO - GOBP Regulation of Relaxation of Cardiac Muscle"
"9293","C5GO - GOBP Regulation of Relaxation of Muscle"
"9294","C5GO - GOBP Regulation of Release of Cytochrome C from Mitochondria"
"9295","C5GO - GOBP Regulation of Release of Sequestered Calcium Ion Into Cytosol"
"9296","C5GO - GOBP Regulation of Removal of Superoxide Radicals"
"9297","C5GO - GOBP Regulation of Renal System Process"
"9298","C5GO - GOBP Regulation of Reproductive Process"
"9299","C5GO - GOBP Regulation of Respiratory Burst"
"9300","C5GO - GOBP Regulation of Respiratory Gaseous Exchange"
"9301","C5GO - GOBP Regulation of Respiratory Gaseous Exchange by Nervous System Process"
"9302","C5GO - GOBP Regulation of Respiratory System Process"
"9303","C5GO - GOBP Regulation of Response to Biotic Stimulus"
"9304","C5GO - GOBP Regulation of Response to Cytokine Stimulus"
"9305","C5GO - GOBP Regulation of Response to DNA Damage Stimulus"
"9306","C5GO - GOBP Regulation of Response to Drug"
"9307","C5GO - GOBP Regulation of Response to Endoplasmic Reticulum Stress"
"9308","C5GO - GOBP Regulation of Response to ExteRNAl Stimulus"
"9309","C5GO - GOBP Regulation of Response to Extracellular Stimulus"
"9310","C5GO - GOBP Regulation of Response to Food"
"9311","C5GO - GOBP Regulation of Response to Interferon Gamma"
"9312","C5GO - GOBP Regulation of Response to Osmotic Stress"
"9313","C5GO - GOBP Regulation of Response to Oxidative Stress"
"9314","C5GO - GOBP Regulation of Response to Reactive Oxygen Species"
"9315","C5GO - GOBP Regulation of Response to Stress"
"9316","C5GO - GOBP Regulation of Response to Tumor Cell"
"9317","C5GO - GOBP Regulation of Response to Wounding"
"9318","C5GO - GOBP Regulation of Resting Membrane Potential"
"9319","C5GO - GOBP Regulation of Retinal Ganglion Cell Axon Guidance"
"9320","C5GO - GOBP Regulation of Retinoic Acid Receptor Signaling Pathway"
"9321","C5GO - GOBP Regulation of Retrograde Protein Transport Er to Cytosol"
"9322","C5GO - GOBP Regulation of Retrograde Transport Endosome to Golgi"
"9323","C5GO - GOBP Regulation of Rho Dependent Protein Serine Threonine Kinase Activity"
"9324","C5GO - GOBP Regulation of Rho Protein Signal Transduction"
"9325","C5GO - GOBP Regulation of Rhodopsin Mediated Signaling Pathway"
"9326","C5GO - GOBP Regulation of Ribonuclease Activity"
"9327","C5GO - GOBP Regulation of Ribosome Biogenesis"
"9328","C5GO - GOBP Regulation of Rig I Signaling Pathway"
"9329","C5GO - GOBP Regulation of RNA Binding"
"9330","C5GO - GOBP Regulation of RNA Export from Nucleus"
"9331","C5GO - GOBP Regulation of RNA Polymerase II Regulatory Region Sequence Specific DNA Binding"
"9332","C5GO - GOBP Regulation of RNA Polymerase II Transcription Preinitiation Complex Assembly"
"9333","C5GO - GOBP Regulation of RNA Splicing"
"9334","C5GO - GOBP Regulation of RRNA Processing"
"9335","C5GO - GOBP Regulation of Ruffle Assembly"
"9336","C5GO - GOBP Regulation of Ryanodine Sensitive Calcium Release Channel Activity"
"9337","C5GO - GOBP Regulation of Saliva Secretion"
"9338","C5GO - GOBP Regulation of Sarcomere Organization"
"9339","C5GO - GOBP Regulation of Secondary Heart Field Cardioblast Proliferation"
"9340","C5GO - GOBP Regulation of Secondary Metabolic Process"
"9341","C5GO - GOBP Regulation of Secretion"
"9342","C5GO - GOBP Regulation of Sensory Perception"
"9343","C5GO - GOBP Regulation of Sequestering of Triglyceride"
"9344","C5GO - GOBP Regulation of Sequestering of Zinc Ion"
"9345","C5GO - GOBP Regulation of Serine Type Peptidase Activity"
"9346","C5GO - GOBP Regulation of Serotonin Secretion"
"9347","C5GO - GOBP Regulation of Short Term Neuronal Synaptic Plasticity"
"9348","C5GO - GOBP Regulation of Signal Transduction by P53 Class Mediator"
"9349","C5GO - GOBP Regulation of Signaling Receptor Activity"
"9350","C5GO - GOBP Regulation of Sister Chromatid Cohesion"
"9351","C5GO - GOBP Regulation of Skeletal Muscle Adaptation"
"9352","C5GO - GOBP Regulation of Skeletal Muscle Cell Differentiation"
"9353","C5GO - GOBP Regulation of Skeletal Muscle Cell Proliferation"
"9354","C5GO - GOBP Regulation of Skeletal Muscle Contraction"
"9355","C5GO - GOBP Regulation of Skeletal Muscle Contraction by Calcium Ion Signaling"
"9356","C5GO - GOBP Regulation of Skeletal Muscle Fiber Development"
"9357","C5GO - GOBP Regulation of Skeletal Muscle Tissue Development"
"9358","C5GO - GOBP Regulation of Skeletal Muscle Tissue Growth"
"9359","C5GO - GOBP Regulation of Skeletal Muscle Tissue Regeneration"
"9360","C5GO - GOBP Regulation of Smad Protein Complex Assembly"
"9361","C5GO - GOBP Regulation of Smad Protein Signal Transduction"
"9362","C5GO - GOBP Regulation of Small Gtpase Mediated Signal Transduction"
"9363","C5GO - GOBP Regulation of Small Molecule Metabolic Process"
"9364","C5GO - GOBP Regulation of Smooth Muscle Cell Chemotaxis"
"9365","C5GO - GOBP Regulation of Smooth Muscle Cell Differentiation"
"9366","C5GO - GOBP Regulation of Smooth Muscle Contraction"
"9367","C5GO - GOBP Regulation of Smoothened Signaling Pathway"
"9368","C5GO - GOBP Regulation of Smoothened Signaling Pathway Involved in Dorsal Ventral Neural Tube Patterning"
"9369","C5GO - GOBP Regulation of Snare Complex Assembly"
"9370","C5GO - GOBP Regulation of SnRNA Transcription by RNA Polymerase II"
"9371","C5GO - GOBP Regulation of Sodium Dependent Phosphate Transport"
"9372","C5GO - GOBP Regulation of Sodium Ion Transmembrane Transport"
"9373","C5GO - GOBP Regulation of Sodium Ion Transport"
"9374","C5GO - GOBP Regulation of Sodium Proton Antiporter Activity"
"9375","C5GO - GOBP Regulation of Somatic Stem Cell Population Maintenance"
"9376","C5GO - GOBP Regulation of Somitogenesis"
"9377","C5GO - GOBP Regulation of Sphingolipid Biosynthetic Process"
"9378","C5GO - GOBP Regulation of Spindle Assembly"
"9379","C5GO - GOBP Regulation of Spindle Organization"
"9380","C5GO - GOBP Regulation of Spontaneous Synaptic Transmission"
"9381","C5GO - GOBP Regulation of Sprouting Angiogenesis"
"9382","C5GO - GOBP Regulation of Srebp Signaling Pathway"
"9383","C5GO - GOBP Regulation of Stem Cell Differentiation"
"9384","C5GO - GOBP Regulation of Stem Cell Division"
"9385","C5GO - GOBP Regulation of Stem Cell Population Maintenance"
"9386","C5GO - GOBP Regulation of Stem Cell Proliferation"
"9387","C5GO - GOBP Regulation of Steroid Biosynthetic Process"
"9388","C5GO - GOBP Regulation of Steroid Hormone Biosynthetic Process"
"9389","C5GO - GOBP Regulation of Steroid Hormone Secretion"
"9390","C5GO - GOBP Regulation of Steroid Metabolic Process"
"9391","C5GO - GOBP Regulation of Sterol Transport"
"9392","C5GO - GOBP Regulation of Store Operated Calcium Channel Activity"
"9393","C5GO - GOBP Regulation of Store Operated Calcium Entry"
"9394","C5GO - GOBP Regulation of Stress Activated Protein Kinase Signaling Cascade"
"9395","C5GO - GOBP Regulation of Stress Granule Assembly"
"9396","C5GO - GOBP Regulation of Striated Muscle Cell Differentiation"
"9397","C5GO - GOBP Regulation of Striated Muscle Contraction"
"9398","C5GO - GOBP Regulation of Substrate Adhesion Dependent Cell Spreading"
"9399","C5GO - GOBP Regulation of Sulfur Metabolic Process"
"9400","C5GO - GOBP Regulation of Superoxide Anion Generation"
"9401","C5GO - GOBP Regulation of Superoxide Dismutase Activity"
"9402","C5GO - GOBP Regulation of Superoxide Metabolic Process"
"9403","C5GO - GOBP Regulation of Supramolecular Fiber Organization"
"9404","C5GO - GOBP Regulation of Synapse Assembly"
"9405","C5GO - GOBP Regulation of Synapse Maturation"
"9406","C5GO - GOBP Regulation of Synapse Structural Plasticity"
"9407","C5GO - GOBP Regulation of Synapse Structure or Activity"
"9408","C5GO - GOBP Regulation of Synaptic Assembly at Neuromuscular Junction"
"9409","C5GO - GOBP Regulation of Synaptic Plasticity"
"9410","C5GO - GOBP Regulation of Synaptic Transmission Cholinergic"
"9411","C5GO - GOBP Regulation of Synaptic Transmission Dopaminergic"
"9412","C5GO - GOBP Regulation of Synaptic Transmission Gabaergic"
"9413","C5GO - GOBP Regulation of Synaptic Transmission Glutamatergic"
"9414","C5GO - GOBP Regulation of Synaptic Vesicle Clustering"
"9415","C5GO - GOBP Regulation of Synaptic Vesicle Cycle"
"9416","C5GO - GOBP Regulation of Synaptic Vesicle Endocytosis"
"9417","C5GO - GOBP Regulation of Synaptic Vesicle Exocytosis"
"9418","C5GO - GOBP Regulation of Synaptic Vesicle Membrane Organization"
"9419","C5GO - GOBP Regulation of Synaptic Vesicle Priming"
"9420","C5GO - GOBP Regulation of Synaptic Vesicle Recycling"
"9421","C5GO - GOBP Regulation of Synaptic Vesicle Transport"
"9422","C5GO - GOBP Regulation of Syncytium Formation by Plasma Membrane Fusion"
"9423","C5GO - GOBP Regulation of System Process"
"9424","C5GO - GOBP Regulation of Systemic Arterial Blood Pressure"
"9425","C5GO - GOBP Regulation of Systemic Arterial Blood Pressure by Circulatory Renin Angiotensin"
"9426","C5GO - GOBP Regulation of Systemic Arterial Blood Pressure by Endothelin"
"9427","C5GO - GOBP Regulation of Systemic Arterial Blood Pressure by Hormone"
"9428","C5GO - GOBP Regulation of Systemic Arterial Blood Pressure by Norepinephrine Epinephrine"
"9429","C5GO - GOBP Regulation of Systemic Arterial Blood Pressure by Renin Angiotensin"
"9430","C5GO - GOBP Regulation of Systemic Arterial Blood Pressure by Vasopressin"
"9431","C5GO - GOBP Regulation of Systemic Arterial Blood Pressure Mediated by A Chemical Signal"
"9432","C5GO - GOBP Regulation of T Cell Activation"
"9433","C5GO - GOBP Regulation of T Cell Activation via T Cell Receptor Contact with Antigen Bound to MHC Molecule on Antigen Presenting Cell"
"9434","C5GO - GOBP Regulation of T Cell Apoptotic Process"
"9435","C5GO - GOBP Regulation of T Cell Chemotaxis"
"9436","C5GO - GOBP Regulation of T Cell Costimulation"
"9437","C5GO - GOBP Regulation of T Cell Differentiation"
"9438","C5GO - GOBP Regulation of T Cell Differentiation in Thymus"
"9439","C5GO - GOBP Regulation of T Cell Extravasation"
"9440","C5GO - GOBP Regulation of T Cell Mediated Cytotoxicity"
"9441","C5GO - GOBP Regulation of T Cell Mediated Immune Response to Tumor Cell"
"9442","C5GO - GOBP Regulation of T Cell Mediated Immunity"
"9443","C5GO - GOBP Regulation of T Cell Migration"
"9444","C5GO - GOBP Regulation of T Cell Proliferation"
"9445","C5GO - GOBP Regulation of T Cell Receptor Signaling Pathway"
"9446","C5GO - GOBP Regulation of T Circle Formation"
"9447","C5GO - GOBP Regulation of T Helper 1 Cell Differentiation"
"9448","C5GO - GOBP Regulation of T Helper 1 Type Immune Response"
"9449","C5GO - GOBP Regulation of T Helper 17 Cell Differentiation"
"9450","C5GO - GOBP Regulation of T Helper 17 Cell Lineage Commitment"
"9451","C5GO - GOBP Regulation of T Helper 17 Type Immune Response"
"9452","C5GO - GOBP Regulation of T Helper 2 Cell Differentiation"
"9453","C5GO - GOBP Regulation of T Helper Cell Differentiation"
"9454","C5GO - GOBP Regulation of Tau Protein Kinase Activity"
"9455","C5GO - GOBP Regulation of Telomerase Activity"
"9456","C5GO - GOBP Regulation of Telomere Capping"
"9457","C5GO - GOBP Regulation of Telomere Maintenance"
"9458","C5GO - GOBP Regulation of Telomere Maintenance via Telomere Lengthening"
"9459","C5GO - GOBP Regulation of Tetrapyrrole Metabolic Process"
"9460","C5GO - GOBP Regulation of the Force of Heart Contraction"
"9461","C5GO - GOBP Regulation of the Force of Heart Contraction by Chemical Signal"
"9462","C5GO - GOBP Regulation of Thymocyte Apoptotic Process"
"9463","C5GO - GOBP Regulation of Thyroid Hormone Generation"
"9464","C5GO - GOBP Regulation of Tissue Remodeling"
"9465","C5GO - GOBP Regulation of Tolerance Induction"
"9466","C5GO - GOBP Regulation of Toll Like Receptor 2 Signaling Pathway"
"9467","C5GO - GOBP Regulation of Toll Like Receptor 3 Signaling Pathway"
"9468","C5GO - GOBP Regulation of Toll Like Receptor 4 Signaling Pathway"
"9469","C5GO - GOBP Regulation of Toll Like Receptor 7 Signaling Pathway"
"9470","C5GO - GOBP Regulation of Toll Like Receptor 9 Signaling Pathway"
"9471","C5GO - GOBP Regulation of Toll Like Receptor Signaling Pathway"
"9472","C5GO - GOBP Regulation of Tooth Mineralization"
"9473","C5GO - GOBP Regulation of Tor Signaling"
"9474","C5GO - GOBP Regulation of Torc2 Signaling"
"9475","C5GO - GOBP Regulation of Trail Activated Apoptotic Signaling Pathway"
"9476","C5GO - GOBP Regulation of Trans Synaptic Signaling"
"9477","C5GO - GOBP Regulation of Transcription by Glucose"
"9478","C5GO - GOBP Regulation of Transcription by RNA Polymerase I"
"9479","C5GO - GOBP Regulation of Transcription by RNA Polymerase III"
"9480","C5GO - GOBP Regulation of Transcription Elongation from RNA Polymerase II Promoter"
"9481","C5GO - GOBP Regulation of Transcription from RNA Polymerase II Promoter in Response to Hypoxia"
"9482","C5GO - GOBP Regulation of Transcription from RNA Polymerase II Promoter in Response to Oxidative Stress"
"9483","C5GO - GOBP Regulation of Transcription from RNA Polymerase II Promoter Involved in Heart Development"
"9484","C5GO - GOBP Regulation of Transcription Involved in G1 S Transition of Mitotic Cell Cycle"
"9485","C5GO - GOBP Regulation of Transcription of Nucleolar Large RRNA by RNA Polymerase I"
"9486","C5GO - GOBP Regulation of Transcription Regulatory Region DNA Binding"
"9487","C5GO - GOBP Regulation of Transferase Activity"
"9488","C5GO - GOBP Regulation of Transforming Growth Factor Beta Activation"
"9489","C5GO - GOBP Regulation of Transforming Growth Factor Beta1 Production"
"9490","C5GO - GOBP Regulation of Translation at Synapse Modulating Synaptic Transmission"
"9491","C5GO - GOBP Regulation of Translation in Response to Endoplasmic Reticulum Stress"
"9492","C5GO - GOBP Regulation of Translation in Response to Stress"
"9493","C5GO - GOBP Regulation of Translation Initiation in Response to Endoplasmic Reticulum Stress"
"9494","C5GO - GOBP Regulation of Translational Elongation"
"9495","C5GO - GOBP Regulation of Translational Fidelity"
"9496","C5GO - GOBP Regulation of Translational Initiation"
"9497","C5GO - GOBP Regulation of Translational Initiation by Eif2 Alpha Phosphorylation"
"9498","C5GO - GOBP Regulation of Translational Initiation in Response to Stress"
"9499","C5GO - GOBP Regulation of Translational Termination"
"9500","C5GO - GOBP Regulation of Transmembrane Receptor Protein Serine Threonine Kinase Signaling Pathway"
"9501","C5GO - GOBP Regulation of Transmembrane Transport"
"9502","C5GO - GOBP Regulation of Transmission of Nerve Impulse"
"9503","C5GO - GOBP Regulation of Transport"
"9504","C5GO - GOBP Regulation of Transporter Activity"
"9505","C5GO - GOBP Regulation of Transposition"
"9506","C5GO - GOBP Regulation of Triglyceride Biosynthetic Process"
"9507","C5GO - GOBP Regulation of Triglyceride Catabolic Process"
"9508","C5GO - GOBP Regulation of Triglyceride Metabolic Process"
"9509","C5GO - GOBP Regulation of Tube Size"
"9510","C5GO - GOBP Regulation of Tumor Necrosis Factor Mediated Signaling Pathway"
"9511","C5GO - GOBP Regulation of Type B Pancreatic Cell Development"
"9512","C5GO - GOBP Regulation of Type B Pancreatic Cell Proliferation"
"9513","C5GO - GOBP Regulation of Type I Interferon Mediated Signaling Pathway"
"9514","C5GO - GOBP Regulation of Ubiquitin Dependent Protein Catabolic Process"
"9515","C5GO - GOBP Regulation of Ubiquitin Protein Ligase Activity"
"9516","C5GO - GOBP Regulation of Ubiquitin Protein Transferase Activity"
"9517","C5GO - GOBP Regulation of Ubiquitin Specific Protease Activity"
"9518","C5GO - GOBP Regulation of Unsaturated Fatty Acid Biosynthetic Process"
"9519","C5GO - GOBP Regulation of Urine Volume"
"9520","C5GO - GOBP Regulation of Vacuole Organization"
"9521","C5GO - GOBP Regulation of Vascular Associated Smooth Muscle Cell Dedifferentiation"
"9522","C5GO - GOBP Regulation of Vascular Associated Smooth Muscle Cell Differentiation"
"9523","C5GO - GOBP Regulation of Vascular Associated Smooth Muscle Contraction"
"9524","C5GO - GOBP Regulation of Vascular Endothelial Growth Factor Receptor Signaling Pathway"
"9525","C5GO - GOBP Regulation of Vascular Permeability"
"9526","C5GO - GOBP Regulation of Vascular Wound Healing"
"9527","C5GO - GOBP Regulation of Vasculature Development"
"9528","C5GO - GOBP Regulation of Vasculogenesis"
"9529","C5GO - GOBP Regulation of Vasoconstriction"
"9530","C5GO - GOBP Regulation of Ventricular Cardiac Muscle Cell Action Potential"
"9531","C5GO - GOBP Regulation of Ventricular Cardiac Muscle Cell Membrane Depolarization"
"9532","C5GO - GOBP Regulation of Very Low Density Lipoprotein Particle Clearance"
"9533","C5GO - GOBP Regulation of Very Low Density Lipoprotein Particle Remodeling"
"9534","C5GO - GOBP Regulation of Vesicle Fusion"
"9535","C5GO - GOBP Regulation of Vesicle Mediated Transport"
"9536","C5GO - GOBP Regulation of Vesicle Size"
"9537","C5GO - GOBP Regulation of Vesicle Transport Along Microtubule"
"9538","C5GO - GOBP Regulation of Viral Entry Into Host Cell"
"9539","C5GO - GOBP Regulation of Viral Genome Replication"
"9540","C5GO - GOBP Regulation of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway"
"9541","C5GO - GOBP Regulation of Viral Process"
"9542","C5GO - GOBP Regulation of Viral Transcription"
"9543","C5GO - GOBP Regulation of Vitamin D Biosynthetic Process"
"9544","C5GO - GOBP Regulation of Vitamin D Receptor Signaling Pathway"
"9545","C5GO - GOBP Regulation of Vitamin Metabolic Process"
"9546","C5GO - GOBP Regulation of Voltage Gated Calcium Channel Activity"
"9547","C5GO - GOBP Regulation of Voltage Gated Sodium Channel Activity"
"9548","C5GO - GOBP Regulation of Water Loss via Skin"
"9549","C5GO - GOBP Regulation of Wnt Signaling Pathway"
"9550","C5GO - GOBP Regulation of Wnt Signaling Pathway Involved in Heart Development"
"9551","C5GO - GOBP Regulation of Wnt Signaling Pathway Planar Cell Polarity Pathway"
"9552","C5GO - GOBP Regulation of Wound Healing"
"9553","C5GO - GOBP Regulation of Wound Healing Spreading of Epidermal Cells"
"9554","C5GO - GOBP Regulation of Xenophagy"
"9555","C5GO - GOBP Regulatory T Cell Differentiation"
"9556","C5GO - GOBP Relaxation of Cardiac Muscle"
"9557","C5GO - GOBP Relaxation of Muscle"
"9558","C5GO - GOBP Relaxation of Smooth Muscle"
"9559","C5GO - GOBP Relaxation of Vascular Associated Smooth Muscle"
"9560","C5GO - GOBP Release of Cytochrome C from Mitochondria"
"9561","C5GO - GOBP Release of Sequestered Calcium Ion Into Cytosol by Endoplasmic Reticulum"
"9562","C5GO - GOBP Renal Absorption"
"9563","C5GO - GOBP Renal Control of Peripheral Vascular Resistance Involved in Regulation of Systemic Arterial Blood Pressure"
"9564","C5GO - GOBP Renal Filtration"
"9565","C5GO - GOBP Renal Protein Absorption"
"9566","C5GO - GOBP Renal Sodium Excretion"
"9567","C5GO - GOBP Renal Sodium Ion Absorption"
"9568","C5GO - GOBP Renal Sodium Ion Transport"
"9569","C5GO - GOBP Renal System Process"
"9570","C5GO - GOBP Renal System Process Involved in Regulation of Blood Volume"
"9571","C5GO - GOBP Renal System Process Involved in Regulation of Systemic Arterial Blood Pressure"
"9572","C5GO - GOBP Renal System Vasculature Development"
"9573","C5GO - GOBP Renal System Vasculature Morphogenesis"
"9574","C5GO - GOBP Renal Tubular Secretion"
"9575","C5GO - GOBP Renal Tubule Development"
"9576","C5GO - GOBP Renal Vesicle Development"
"9577","C5GO - GOBP Renal Vesicle Formation"
"9578","C5GO - GOBP Renal Water Homeostasis"
"9579","C5GO - GOBP Renal Water Transport"
"9580","C5GO - GOBP Renin Secretion Into Blood Stream"
"9581","C5GO - GOBP Replacement Ossification"
"9582","C5GO - GOBP Replication Born Double Strand Break Repair via Sister Chromatid Exchange"
"9583","C5GO - GOBP Replication Fork Processing"
"9584","C5GO - GOBP Replication Fork Protection"
"9585","C5GO - GOBP Replicative Senescence"
"9586","C5GO - GOBP Reproduction"
"9587","C5GO - GOBP Reproductive Behavior"
"9588","C5GO - GOBP Reproductive System Development"
"9589","C5GO - GOBP Rescue of Stalled Ribosome"
"9590","C5GO - GOBP Resolution of Meiotic Recombination Intermediates"
"9591","C5GO - GOBP Resolution of Recombination Intermediates"
"9592","C5GO - GOBP Respiratory Burst"
"9593","C5GO - GOBP Respiratory Burst Involved in Defense Response"
"9594","C5GO - GOBP Respiratory Burst Involved in Inflammatory Response"
"9595","C5GO - GOBP Respiratory Chain Complex III Assembly"
"9596","C5GO - GOBP Respiratory Chain Complex Iv Assembly"
"9597","C5GO - GOBP Respiratory Electron Transport Chain"
"9598","C5GO - GOBP Respiratory Gaseous Exchange by Respiratory System"
"9599","C5GO - GOBP Respiratory System Development"
"9600","C5GO - GOBP Respiratory System Process"
"9601","C5GO - GOBP Response to Abiotic Stimulus"
"9602","C5GO - GOBP Response to Acetylcholine"
"9603","C5GO - GOBP Response to Acid Chemical"
"9604","C5GO - GOBP Response to Acidic Ph"
"9605","C5GO - GOBP Response to Actinomycin D"
"9606","C5GO - GOBP Response to Activity"
"9607","C5GO - GOBP Response to Alcohol"
"9608","C5GO - GOBP Response to Aldosterone"
"9609","C5GO - GOBP Response to Alkaloid"
"9610","C5GO - GOBP Response to Amine"
"9611","C5GO - GOBP Response to Amino Acid Starvation"
"9612","C5GO - GOBP Response to Ammonium Ion"
"9613","C5GO - GOBP Response to Amphetamine"
"9614","C5GO - GOBP Response to Amyloid Beta"
"9615","C5GO - GOBP Response to Angiotensin"
"9616","C5GO - GOBP Response to Antibiotic"
"9617","C5GO - GOBP Response to Arsenic Containing Substance"
"9618","C5GO - GOBP Response to Arsenite Ion"
"9619","C5GO - GOBP Response to Atp"
"9620","C5GO - GOBP Response to Auditory Stimulus"
"9621","C5GO - GOBP Response to Axon Injury"
"9622","C5GO - GOBP Response to Bacterial Lipoprotein"
"9623","C5GO - GOBP Response to Bacterium"
"9624","C5GO - GOBP Response to Bile Acid"
"9625","C5GO - GOBP Response to Blue Light"
"9626","C5GO - GOBP Response to Bmp"
"9627","C5GO - GOBP Response to Cadmium Ion"
"9628","C5GO - GOBP Response to Caffeine"
"9629","C5GO - GOBP Response to Calcium Ion"
"9630","C5GO - GOBP Response to Camp"
"9631","C5GO - GOBP Response to Camptothecin"
"9632","C5GO - GOBP Response to Carbohydrate"
"9633","C5GO - GOBP Response to Catecholamine"
"9634","C5GO - GOBP Response to Cell Cycle Checkpoint Signaling"
"9635","C5GO - GOBP Response to Cgmp"
"9636","C5GO - GOBP Response to Chemokine"
"9637","C5GO - GOBP Response to Cholesterol"
"9638","C5GO - GOBP Response to Cisplatin"
"9639","C5GO - GOBP Response to Cobalt Ion"
"9640","C5GO - GOBP Response to Cocaine"
"9641","C5GO - GOBP Response to Cold"
"9642","C5GO - GOBP Response to Copper Ion"
"9643","C5GO - GOBP Response to Corticosteroid"
"9644","C5GO - GOBP Response to Corticosterone"
"9645","C5GO - GOBP Response to Corticotropin Releasing Hormone"
"9646","C5GO - GOBP Response to Cortisol"
"9647","C5GO - GOBP Response to Cycloheximide"
"9648","C5GO - GOBP Response to Cytokine"
"9649","C5GO - GOBP Response to Dexamethasone"
"9650","C5GO - GOBP Response to Diacyl Bacterial Lipopeptide"
"9651","C5GO - GOBP Response to Dietary Excess"
"9652","C5GO - GOBP Response to Disaccharide"
"9653","C5GO - GOBP Response to Dopamine"
"9654","C5GO - GOBP Response to DsRNA"
"9655","C5GO - GOBP Response to Electrical Stimulus"
"9656","C5GO - GOBP Response to Endogenous Stimulus"
"9657","C5GO - GOBP Response to Endoplasmic Reticulum Stress"
"9658","C5GO - GOBP Response to Epidermal Growth Factor"
"9659","C5GO - GOBP Response to Epinephrine"
"9660","C5GO - GOBP Response to Erythropoietin"
"9661","C5GO - GOBP Response to Estradiol"
"9662","C5GO - GOBP Response to Estrogen"
"9663","C5GO - GOBP Response to Ethanol"
"9664","C5GO - GOBP Response to Ether"
"9665","C5GO - GOBP Response to Extracellular Stimulus"
"9666","C5GO - GOBP Response to Fatty Acid"
"9667","C5GO - GOBP Response to Fibroblast Growth Factor"
"9668","C5GO - GOBP Response to Fluid Shear Stress"
"9669","C5GO - GOBP Response to Fluoride"
"9670","C5GO - GOBP Response to Folic Acid"
"9671","C5GO - GOBP Response to Follicle Stimulating Hormone"
"9672","C5GO - GOBP Response to Food"
"9673","C5GO - GOBP Response to Forskolin"
"9674","C5GO - GOBP Response to Fructose"
"9675","C5GO - GOBP Response to Fungus"
"9676","C5GO - GOBP Response to Gamma Radiation"
"9677","C5GO - GOBP Response to Glucagon"
"9678","C5GO - GOBP Response to Glycoprotein"
"9679","C5GO - GOBP Response to Glycoside"
"9680","C5GO - GOBP Response to Gonadotropin"
"9681","C5GO - GOBP Response to Gonadotropin Releasing Hormone"
"9682","C5GO - GOBP Response to Granulocyte Macrophage Colony Stimulating Factor"
"9683","C5GO - GOBP Response to Gravity"
"9684","C5GO - GOBP Response to Growth Factor"
"9685","C5GO - GOBP Response to Growth Hormone"
"9686","C5GO - GOBP Response to Heat"
"9687","C5GO - GOBP Response to Heparin"
"9688","C5GO - GOBP Response to Hepatocyte Growth Factor"
"9689","C5GO - GOBP Response to Herbicide"
"9690","C5GO - GOBP Response to Histamine"
"9691","C5GO - GOBP Response to Hormone"
"9692","C5GO - GOBP Response to Human Chorionic Gonadotropin"
"9693","C5GO - GOBP Response to Hydrogen Peroxide"
"9694","C5GO - GOBP Response to Hydroperoxide"
"9695","C5GO - GOBP Response to Hydrostatic Pressure"
"9696","C5GO - GOBP Response to Hydroxyurea"
"9697","C5GO - GOBP Response to Hyperoxia"
"9698","C5GO - GOBP Response to Immobilization Stress"
"9699","C5GO - GOBP Response to Inactivity"
"9700","C5GO - GOBP Response to Increased Oxygen Levels"
"9701","C5GO - GOBP Response to Indole 3 Methanol"
"9702","C5GO - GOBP Response to Inorganic Substance"
"9703","C5GO - GOBP Response to Insecticide"
"9704","C5GO - GOBP Response to Insulin"
"9705","C5GO - GOBP Response to Interferon Alpha"
"9706","C5GO - GOBP Response to Interferon Beta"
"9707","C5GO - GOBP Response to Interferon Gamma"
"9708","C5GO - GOBP Response to Interleukin 1"
"9709","C5GO - GOBP Response to Interleukin 12"
"9710","C5GO - GOBP Response to Interleukin 15"
"9711","C5GO - GOBP Response to Interleukin 17"
"9712","C5GO - GOBP Response to Interleukin 18"
"9713","C5GO - GOBP Response to Interleukin 2"
"9714","C5GO - GOBP Response to Interleukin 3"
"9715","C5GO - GOBP Response to Interleukin 4"
"9716","C5GO - GOBP Response to Interleukin 6"
"9717","C5GO - GOBP Response to Interleukin 7"
"9718","C5GO - GOBP Response to Ionizing Radiation"
"9719","C5GO - GOBP Response to Iron II Ion"
"9720","C5GO - GOBP Response to Iron Ion"
"9721","C5GO - GOBP Response to Ischemia"
"9722","C5GO - GOBP Response to Isoquinoline Alkaloid"
"9723","C5GO - GOBP Response to Ketone"
"9724","C5GO - GOBP Response to L Ascorbic Acid"
"9725","C5GO - GOBP Response to L Glutamate"
"9726","C5GO - GOBP Response to L Phenylalanine Derivative"
"9727","C5GO - GOBP Response to Laminar Fluid Shear Stress"
"9728","C5GO - GOBP Response to Lead Ion"
"9729","C5GO - GOBP Response to Lectin"
"9730","C5GO - GOBP Response to Leptin"
"9731","C5GO - GOBP Response to Leucine"
"9732","C5GO - GOBP Response to Leukemia Inhibitory Factor"
"9733","C5GO - GOBP Response to Light Intensity"
"9734","C5GO - GOBP Response to Light Stimulus"
"9735","C5GO - GOBP Response to Lipid"
"9736","C5GO - GOBP Response to Lipoteichoic Acid"
"9737","C5GO - GOBP Response to Lithium Ion"
"9738","C5GO - GOBP Response to Luteinizing Hormone"
